run_id,run_timestamp,test_id,area,priority,type,title,tags,status,duration_ms,retries,error_message
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1400,API,,Positive,GET /rest/captcha returns a math captcha and answer pair,@everstage-qa @positive,passed,41,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1401,API,,Security,DOCUMENTED VULN: /rest/captcha leaks the correct answer in the response,@everstage-qa @security,passed,24,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1402,API,,Positive,GET /rest/image-captcha returns an SVG payload (authenticated),@everstage-qa @positive,passed,50,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1403,API,,Security,GET /rest/image-captcha without auth is rejected,@everstage-qa @security,passed,12,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1000,API,,Positive,GET /api/Deliverys returns the catalog of delivery methods,@everstage-qa @positive,passed,64,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1001,API,,Security,DOCUMENTED VULN: GET /api/Deliverys is reachable without authentication,@everstage-qa @security,passed,17,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-900,API,,Positive,POST /api/Recycles creates a recycle request,@everstage-qa @positive,passed,42,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1100,API,,Positive,GET /rest/track-order/{id} returns a tracking record,@everstage-qa @positive,passed,16,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1101,API,,Negative,GET /rest/track-order/{nonexistent} still returns 200 with empty data,@everstage-qa @negative,passed,10,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1102,API,,Security,Track-order id with traversal characters does not crash the server,@everstage-qa @security,passed,33,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1200,API,,Positive,GET /rest/2fa/status returns setup state for the user,@everstage-qa @positive,passed,41,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-901,API,,Security,DOCUMENTED VULN: Recycle request is created with UserId=null,@everstage-qa @security,passed,108,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1201,API,,Security,POST /rest/2fa/setup with a tampered initialToken is rejected,@everstage-qa @security,passed,19,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-902,API,,Security,Recycle request without auth token is rejected,@everstage-qa @security,passed,24,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-001,API,P1,Positive,Add unique card details via /api/Cards/,@everstage-qa @task3,passed,133,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1202,API,,Security,GET /rest/2fa/status without a token is rejected,@everstage-qa @security,passed,19,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-903,API,,Negative,DOCUMENTED VULN: Recycle accepts negative quantity,@everstage-qa @negative,passed,59,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-700,API,,Positive,GET /rest/wallet/balance returns the user balance,@everstage-qa @positive,passed,47,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-110,API,,Negative,DOCUMENTED VULN: Missing cardNum is accepted on default Juice Shop,@everstage-qa @negative @task3,passed,59,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1300,API,,Positive,POST /api/Complaints creates a complaint,@everstage-qa @positive,passed,85,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-701,API,,Security,GET /rest/wallet/balance without auth is rejected,@everstage-qa @security,passed,25,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-702,API,,Security,GET /rest/wallet/balance with tampered JWT is rejected,@everstage-qa @security,passed,24,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-904,API,,Security,"DOCUMENTED VULN: GET /api/Recycles/{id} returns ALL recycles, not just the requested id",@everstage-qa @security,passed,76,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1301,API,,Security,DOCUMENTED VULN: Complaint stored with UserId=null,@everstage-qa @security,passed,71,0,
2026-05-08T15-28-22-581Z,2026-05-08T15:28:22.581Z,TC-API-1500,API,,Positive,GET /rest/user/whoami returns the current user when authenticated via cookie,@everstage-qa @positive,passed,27,0,
